ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Returned
5427,C,Road,7,4,240.71,15,medium,Female,26.38,2276,1
5428,A,Ship,1,5,272.6,9,low,Female,0.93,2683,1
5429,E,Ship,3,1,320.99,16,low,Female,3.49,4472,0
5430,D,Ship,2,4,799.04,14,high,Male,2.61,2864,1
5431,E,Road,1,3,218.58,10,high,Male,6.64,201,0
5432,A,Flight,7,1,567.15,7,medium,Male,14.88,1754,1
5433,C,Flight,2,3,208.46,7,high,Female,1.0,3357,0
5434,E,Road,8,2,292.19,6,medium,Male,5.07,3094,0
5435,B,Flight,9,5,243.13,19,low,Female,12.22,877,0
5436,D,Ship,4,4,648.55,11,low,Female,18.99,2133,1
5437,E,Ship,8,2,531.46,15,low,Female,27.29,4528,1
5438,D,Road,2,4,724.09,15,high,Female,24.9,467,1
5439,B,Road,4,2,227.74,9,medium,Male,1.62,3129,0
5440,C,Flight,9,4,19.06,6,high,Female,29.01,4710,0
5441,C,Flight,5,5,683.7,3,high,Male,8.01,863,0
5442,B,Ship,8,1,123.71,1,medium,Female,10.91,1891,0
5443,D,Road,7,3,253.84,8,medium,Female,2.24,3966,0
5444,E,Flight,1,2,312.63,14,medium,Female,28.08,999,0
5445,B,Flight,1,3,749.33,13,low,Female,16.38,1540,0
5446,A,Ship,4,3,629.63,11,high,Male,15.49,4110,0
5447,D,Ship,4,4,192.42,16,high,Male,0.46,3074,0
5448,C,Ship,4,1,601.91,16,low,Male,0.1,4744,0
5449,B,Ship,3,4,711.07,12,medium,Male,20.47,4018,0
5450,C,Flight,7,3,395.01,7,high,Female,14.47,1992,0
5451,D,Road,4,5,253.49,9,low,Male,15.23,4965,0
5452,C,Road,0,1,682.19,12,high,Female,19.51,3861,1
5453,B,Ship,9,1,614.78,6,high,Male,4.38,3198,0
5454,D,Ship,4,3,87.13,2,high,Male,29.95,1329,0
5455,A,Flight,0,4,670.01,14,medium,Male,2.42,2939,0
5456,B,Ship,3,5,493.63,6,medium,Male,8.04,3782,0
5457,E,Road,0,2,755.84,4,high,Male,20.82,2971,0
5458,B,Ship,5,4,198.81,7,medium,Male,15.48,1413,0
5459,D,Road,5,1,265.63,16,low,Female,2.9,2740,0
5460,B,Ship,0,4,547.88,7,low,Male,23.25,2820,1
5461,A,Ship,7,2,486.92,6,high,Female,29.11,4962,0
5462,A,Road,3,5,392.5,6,low,Male,14.19,4100,0
5463,E,Flight,1,5,748.57,1,medium,Female,7.59,3807,1
5464,C,Flight,0,2,569.1,10,medium,Female,3.2,3446,0
5465,D,Ship,2,2,713.17,11,low,Male,6.16,495,0
5466,D,Ship,6,3,161.72,11,high,Female,9.34,2151,0
5467,C,Road,9,1,731.7,18,low,Male,5.64,1346,0
5468,A,Road,9,3,466.91,2,medium,Male,20.53,1295,0
5469,A,Ship,7,4,43.43,11,high,Female,0.69,1499,1
5470,B,Road,4,2,242.15,5,medium,Female,12.27,4344,0
5471,E,Flight,6,3,35.5,5,high,Male,11.22,3695,0
5472,E,Flight,1,1,462.31,18,high,Female,26.34,3370,0
5473,E,Road,3,1,332.62,8,high,Male,8.18,2990,0
5474,B,Road,5,2,987.58,8,medium,Female,17.47,644,0
5475,E,Road,4,3,869.82,17,high,Female,0.14,4153,0
5476,C,Flight,5,5,827.41,9,high,Male,27.51,2603,0
5477,B,Ship,1,2,506.11,9,low,Female,19.1,522,0
5478,C,Road,6,4,809.02,0,low,Male,23.81,4927,0
5479,B,Road,7,3,274.2,17,medium,Male,17.08,4666,1
5480,E,Road,8,3,565.04,9,high,Male,24.47,780,0
5481,C,Ship,5,2,398.99,6,low,Male,2.53,2942,0
5482,C,Road,6,3,179.63,7,medium,Male,21.31,3949,0
5483,C,Road,0,3,81.89,10,high,Female,4.46,3376,0
5484,B,Flight,8,4,562.64,5,medium,Male,17.29,770,0
5485,D,Road,5,4,106.66,18,high,Male,29.57,2302,0
5486,E,Flight,3,5,720.82,8,low,Female,5.42,1562,0
5487,C,Ship,9,4,922.25,10,high,Female,7.69,2717,0
5488,D,Road,8,5,170.49,1,low,Female,6.34,2912,1
5489,E,Road,0,4,476.23,10,high,Male,12.37,1426,0
5490,E,Flight,1,5,741.39,4,high,Female,14.66,197,0
5491,C,Ship,2,4,293.97,18,low,Female,4.8,3218,1
5492,C,Ship,0,4,921.56,16,low,Male,0.83,2090,1
5493,B,Flight,1,2,889.58,17,low,Male,10.25,2761,1
5494,D,Ship,1,4,112.72,13,medium,Female,11.46,445,0
5495,D,Ship,6,5,37.13,9,low,Female,11.49,3248,0
5496,C,Ship,9,2,976.69,16,high,Female,19.95,4742,1
5497,E,Ship,5,5,956.91,10,medium,Female,13.46,2053,1
5498,C,Ship,8,4,428.06,1,medium,Male,3.24,4898,1
5499,E,Ship,4,4,60.06,9,medium,Female,27.97,2885,0
5500,E,Ship,8,5,622.69,0,medium,Female,21.02,586,1
5501,C,Ship,9,3,300.48,13,low,Male,6.39,4734,1
5502,A,Road,8,2,937.36,10,high,Male,28.05,4112,0
5503,D,Flight,1,2,796.72,10,high,Female,29.75,1007,0
5504,E,Ship,8,4,653.1,9,medium,Female,5.92,2954,1
5505,E,Flight,2,2,291.66,19,medium,Female,11.42,1223,1
5506,A,Ship,2,5,704.26,4,low,Male,2.07,1432,0
5507,B,Ship,8,4,296.28,4,high,Male,14.47,181,0
5508,A,Road,6,2,47.25,13,low,Female,23.63,3177,0
5509,A,Flight,7,1,513.35,4,medium,Male,27.12,3905,0
5510,E,Flight,6,2,493.8,5,medium,Female,16.36,1051,0
5511,D,Road,8,5,765.38,15,medium,Female,9.78,220,1
5512,A,Road,7,2,867.02,14,high,Female,17.24,2798,0
5513,B,Flight,3,3,360.92,5,high,Male,3.47,1738,0
5514,C,Ship,1,3,454.98,19,medium,Female,25.06,3946,0
5515,A,Ship,4,4,475.7,15,high,Male,15.62,1449,0
5516,A,Flight,1,3,330.98,18,medium,Male,29.47,3591,0
5517,B,Ship,3,5,745.95,19,high,Male,12.03,4582,0
5518,D,Road,1,1,526.88,12,high,Female,19.61,3168,0
5519,A,Road,4,1,914.82,18,medium,Male,10.2,3356,0
5520,A,Road,5,4,653.81,12,high,Female,4.43,2767,0
5521,D,Flight,0,4,219.78,7,medium,Male,22.64,4353,0
5522,B,Flight,7,3,173.16,5,low,Female,20.17,523,1
5523,A,Flight,1,5,378.66,16,high,Male,23.41,833,0
5524,D,Ship,4,3,353.46,4,low,Male,29.4,3884,0
5525,A,Flight,7,5,413.06,7,medium,Male,29.8,3049,0
5526,C,Flight,4,5,191.76,17,medium,Male,27.87,764,0
5527,E,Road,2,1,978.44,18,high,Female,26.85,3521,1
5528,C,Ship,5,5,154.25,11,high,Male,9.05,2470,0
5529,A,Ship,0,2,656.12,11,high,Female,14.05,4089,1
5530,B,Road,0,5,22.94,12,medium,Male,1.4,272,0
5531,E,Ship,7,1,412.89,3,high,Female,20.53,812,1
5532,C,Flight,6,3,316.09,9,low,Female,16.38,3541,0
5533,D,Ship,9,5,388.2,15,high,Male,21.21,2922,0
5534,B,Road,9,2,503.1,4,medium,Male,20.42,4223,0
5535,C,Ship,2,4,604.37,11,low,Male,8.16,2384,0
5536,D,Road,7,3,587.68,15,low,Female,13.83,731,0
5537,A,Flight,7,4,634.41,14,high,Female,3.15,4318,0
5538,D,Flight,0,2,846.1,1,medium,Male,2.54,3636,0
5539,C,Road,9,1,887.85,15,medium,Male,13.8,4515,0
5540,C,Flight,6,1,739.88,10,high,Female,16.67,3642,0
5541,A,Flight,1,3,88.15,8,medium,Female,9.56,3894,0
5542,D,Ship,1,5,961.68,1,high,Male,1.85,4823,1
5543,D,Flight,1,5,947.92,17,medium,Male,19.85,1410,0
5544,A,Road,4,4,714.59,12,low,Male,20.32,873,1
5545,D,Flight,6,1,522.26,12,high,Female,9.62,1608,1
5546,A,Ship,3,5,258.11,7,medium,Female,0.02,1058,0
5547,B,Road,3,5,758.79,9,medium,Female,19.07,2821,0
5548,C,Flight,8,1,879.08,16,high,Male,2.12,251,1
5549,B,Flight,9,1,668.54,0,low,Female,6.7,4125,0
5550,E,Flight,8,2,632.78,15,medium,Male,7.44,1501,0
5551,E,Road,6,4,201.07,10,high,Male,7.91,2462,0
5552,E,Ship,9,1,364.22,0,low,Male,18.5,3502,0
5553,A,Road,3,2,725.9,5,medium,Male,2.38,1915,1
5554,D,Road,7,1,26.73,11,medium,Female,19.36,1429,0
5555,B,Ship,9,3,644.85,15,medium,Female,14.54,1377,0
5556,B,Road,2,3,769.0,10,high,Male,10.46,4019,0
5557,B,Road,2,3,341.36,17,high,Female,18.13,1210,0
5558,B,Flight,6,1,85.41,1,high,Female,26.2,1414,0
5559,E,Road,8,5,820.93,16,low,Male,16.32,2843,1
5560,B,Flight,3,5,150.42,16,medium,Female,4.68,864,0
5561,D,Road,3,3,377.09,19,medium,Female,16.73,4986,0
5562,E,Flight,0,4,710.18,3,low,Female,13.61,2561,0
5563,B,Flight,0,2,818.82,5,low,Male,28.22,1992,0
5564,A,Flight,2,3,863.76,14,high,Male,17.8,1037,0
5565,C,Ship,6,2,535.11,10,medium,Female,1.06,2798,1
5566,C,Road,8,2,481.11,17,low,Male,3.62,796,1
5567,C,Road,3,3,849.83,16,low,Female,15.97,1077,0
5568,E,Road,1,5,567.45,1,low,Male,23.86,4606,0
5569,B,Ship,5,4,582.86,12,high,Female,2.87,2410,1
5570,E,Flight,5,3,439.63,5,high,Male,16.96,3347,0
5571,D,Road,8,2,379.09,10,medium,Female,13.58,696,0
5572,A,Ship,3,1,485.74,19,high,Male,10.89,1714,0
5573,A,Ship,7,1,371.2,6,medium,Male,2.46,2219,0
5574,C,Road,2,2,350.11,17,high,Male,26.39,4415,0
5575,C,Flight,1,3,993.73,16,high,Female,22.9,2751,0
5576,C,Ship,8,5,342.85,12,high,Female,27.63,2117,0
5577,B,Road,5,3,263.82,13,low,Male,5.03,562,0
5578,D,Flight,7,4,360.38,8,high,Female,17.17,3279,0
5579,D,Ship,9,1,594.87,12,medium,Female,0.58,728,0
5580,D,Ship,8,2,911.88,5,high,Male,5.33,1342,0
5581,D,Road,0,5,789.99,0,low,Female,23.67,2813,1
5582,C,Road,0,3,843.82,0,low,Male,8.61,4578,1
5583,A,Flight,4,4,860.42,3,medium,Female,5.92,3174,1
5584,C,Road,8,3,921.32,13,medium,Female,16.27,2345,0
5585,D,Road,6,4,242.72,17,low,Male,19.66,3350,0
5586,C,Flight,6,3,463.78,15,high,Female,18.31,3851,0
5587,D,Road,1,5,391.35,2,medium,Male,2.97,3060,0
5588,E,Flight,2,5,388.06,5,medium,Female,27.91,2724,0
5589,A,Flight,3,2,655.76,0,high,Female,5.32,4464,0
5590,E,Flight,1,5,407.79,10,high,Female,27.76,565,0
5591,B,Road,9,4,620.17,9,high,Female,14.51,599,0
5592,C,Flight,8,2,388.46,17,low,Male,3.09,4899,1
5593,B,Road,4,5,318.02,3,low,Male,4.46,2071,0
5594,C,Flight,6,1,359.55,5,high,Female,12.92,623,1
5595,E,Road,8,4,805.72,18,medium,Female,29.94,783,1
5596,D,Flight,4,2,605.04,8,medium,Male,26.58,3453,0
5597,D,Ship,5,4,974.26,9,low,Female,29.41,3981,0
5598,C,Ship,3,2,834.33,19,low,Male,13.64,2251,0
5599,D,Ship,7,4,490.92,4,medium,Male,20.39,767,0
5600,E,Flight,0,1,249.95,15,low,Female,15.58,568,0
5601,D,Road,0,5,677.17,1,low,Male,0.89,3605,0
5602,E,Flight,4,3,729.38,8,medium,Female,4.26,4436,0
5603,B,Flight,9,3,469.53,10,high,Male,8.56,1390,0
5604,E,Flight,8,3,237.62,1,medium,Female,9.39,1068,0
5605,A,Flight,1,2,561.67,17,low,Female,20.85,3672,0
5606,A,Road,2,5,261.29,1,high,Male,21.62,2246,0
5607,A,Flight,7,2,940.6,13,high,Male,13.52,139,0
5608,C,Ship,4,2,632.6,3,medium,Male,11.37,4084,0
5609,C,Ship,2,2,299.01,7,high,Male,5.31,788,0
5610,C,Ship,5,2,223.57,7,high,Female,1.23,2219,0
5611,E,Flight,5,5,719.56,0,medium,Female,17.56,4008,0
5612,C,Road,4,3,710.72,0,high,Male,10.44,3225,0
5613,B,Road,4,4,601.16,3,high,Male,14.3,332,0
5614,A,Road,5,2,618.16,17,medium,Female,27.03,2450,0
5615,E,Flight,1,5,607.83,18,medium,Female,20.03,3891,0
5616,A,Road,5,1,366.5,9,low,Male,23.36,3203,1
5617,C,Ship,1,4,938.04,17,low,Female,5.4,3403,0
5618,E,Road,2,2,484.49,9,medium,Male,0.05,4374,0
5619,D,Flight,1,2,30.12,8,low,Female,4.06,3798,1
5620,B,Flight,0,4,354.88,6,medium,Female,23.04,3974,0
5621,C,Road,0,4,138.98,5,low,Female,13.31,2611,0
5622,C,Flight,8,2,369.75,0,low,Female,6.42,3787,0
5623,B,Road,3,5,612.18,4,high,Female,28.86,2849,1
5624,B,Road,4,1,32.44,18,low,Female,14.6,4359,0
5625,D,Ship,9,5,871.5,14,high,Female,11.07,4500,0
5626,C,Flight,6,3,614.21,13,low,Male,29.31,2472,0
5627,C,Ship,1,3,302.42,6,high,Female,4.01,210,0
5628,A,Flight,9,3,318.09,8,low,Female,17.99,4136,0
5629,E,Road,8,2,471.01,11,low,Male,22.47,2835,1
5630,E,Flight,3,1,255.61,16,high,Male,28.22,995,0
5631,A,Road,9,1,14.3,17,high,Male,25.02,3354,0
5632,E,Flight,9,2,36.29,1,medium,Female,8.68,971,0
5633,B,Ship,0,2,364.16,16,medium,Male,7.81,3438,0
5634,E,Ship,7,2,132.98,19,high,Female,2.93,590,0
5635,E,Road,3,1,32.14,6,low,Male,5.02,4884,0
5636,A,Ship,6,2,860.68,9,medium,Male,21.9,3135,0
5637,D,Road,2,4,281.4,14,medium,Female,8.68,1135,0
5638,E,Road,8,4,508.09,0,medium,Male,13.26,3857,1
5639,E,Road,4,4,187.61,10,medium,Female,20.71,3714,0
5640,D,Flight,4,2,56.26,7,medium,Female,19.95,2443,1
5641,A,Road,2,4,747.42,11,high,Female,23.79,2753,0
5642,D,Ship,8,2,133.71,2,medium,Female,1.75,1463,0
5643,A,Flight,2,4,35.46,14,high,Female,17.16,3454,0
5644,B,Ship,1,2,591.36,4,high,Male,26.77,4348,0
5645,A,Road,8,5,23.33,4,low,Male,11.19,453,0
5646,B,Road,8,3,441.92,16,medium,Male,5.74,2182,0
5647,B,Ship,9,5,295.95,1,medium,Male,2.06,3673,0
5648,A,Flight,3,3,326.22,0,low,Male,28.19,279,0
5649,C,Ship,3,3,13.86,17,medium,Female,0.11,1826,1
5650,A,Road,9,4,964.7,8,medium,Female,23.76,4011,0
5651,E,Flight,5,3,521.79,4,high,Female,7.93,4854,0
5652,E,Road,8,3,576.79,19,high,Female,7.27,3829,1
5653,C,Road,7,5,669.46,12,low,Female,4.73,819,0
5654,B,Ship,9,3,799.55,1,high,Male,5.81,1078,0
5655,C,Road,2,2,611.83,12,medium,Female,15.42,3250,1
5656,E,Ship,5,2,764.58,7,medium,Female,26.26,946,0
5657,C,Flight,6,4,454.25,9,low,Female,11.03,3456,0
5658,A,Road,5,5,377.56,19,medium,Female,22.37,1396,0
5659,C,Road,2,1,824.9,5,low,Male,7.4,267,0
5660,B,Flight,8,5,866.66,10,medium,Male,27.12,174,1
5661,A,Ship,3,1,146.43,13,low,Male,27.42,3849,1
5662,D,Road,1,3,547.23,9,medium,Female,3.25,3052,0
5663,E,Flight,8,1,686.81,9,medium,Male,25.16,3546,0
5664,E,Road,2,3,92.76,10,medium,Female,21.06,4151,0
5665,C,Ship,5,5,930.3,3,medium,Female,11.82,2835,1
5666,A,Ship,4,5,524.91,2,medium,Male,25.04,4252,0
5667,D,Ship,1,4,649.0,8,low,Female,27.1,1540,0
5668,A,Ship,0,4,186.46,4,low,Female,14.89,2931,0
5669,E,Flight,8,3,271.79,0,high,Male,15.26,4968,0
5670,A,Road,2,3,129.79,10,low,Male,21.13,3608,0
5671,D,Flight,6,2,271.36,7,medium,Male,7.33,1186,1
5672,C,Ship,8,2,497.47,4,low,Male,2.3,3924,0
5673,B,Ship,8,2,835.29,1,medium,Male,15.86,1179,0
5674,A,Ship,9,5,538.39,8,medium,Male,9.61,800,1
5675,B,Ship,5,1,252.02,5,high,Male,3.69,4463,0
5676,E,Road,7,3,54.17,10,low,Male,4.2,1012,0
5677,C,Ship,8,4,625.75,9,low,Female,6.39,4367,0
5678,C,Road,2,3,425.96,11,medium,Female,10.13,4095,0
5679,A,Ship,5,1,984.51,2,low,Male,13.11,826,1
5680,C,Road,4,3,781.96,6,low,Male,28.7,2423,1
5681,A,Road,6,4,810.28,17,low,Female,14.56,4532,0
5682,A,Ship,6,4,22.11,11,medium,Male,27.4,2583,0
5683,B,Flight,8,1,780.02,10,low,Male,16.39,3171,0
5684,C,Flight,0,4,202.67,1,medium,Female,4.74,4658,0
5685,A,Flight,5,5,589.94,9,medium,Male,25.29,4172,0
5686,B,Flight,4,4,452.95,12,low,Female,0.49,314,1
5687,D,Flight,3,1,575.89,12,high,Female,16.91,3800,0
5688,B,Ship,9,1,142.11,14,medium,Female,10.25,2609,0
5689,B,Ship,0,3,462.32,12,low,Female,13.15,459,0
5690,A,Ship,3,4,46.58,8,high,Male,23.92,4478,0
5691,E,Ship,9,4,50.59,5,medium,Female,0.16,394,0
5692,E,Ship,6,1,661.16,2,high,Male,5.47,4558,1
5693,E,Ship,3,3,952.18,19,low,Male,24.38,930,0
5694,B,Road,0,3,779.62,19,high,Female,16.36,591,0
5695,A,Road,9,5,474.46,8,high,Male,7.75,4270,1
5696,C,Ship,0,5,65.31,3,medium,Female,14.93,3977,0
5697,B,Ship,0,1,54.57,19,medium,Female,12.09,462,0
5698,B,Road,9,3,166.31,4,low,Female,23.06,3908,0
5699,A,Road,4,3,976.05,11,medium,Male,22.7,2838,0
5700,D,Ship,6,5,404.67,16,high,Female,13.89,179,1
5701,B,Road,8,5,844.97,4,high,Female,8.28,1364,1
5702,D,Flight,7,1,708.09,3,low,Male,0.36,2359,0
5703,D,Flight,1,3,609.37,7,medium,Female,14.18,4586,0
5704,E,Flight,8,1,948.35,8,medium,Female,17.78,3248,1
5705,A,Road,3,5,238.11,16,low,Male,18.16,3206,0
5706,D,Ship,9,4,460.34,7,medium,Male,26.04,1703,0
5707,A,Ship,4,5,866.08,4,high,Female,14.02,2956,1
5708,E,Ship,4,3,556.24,9,low,Male,21.61,2750,0
5709,A,Road,3,1,253.98,17,medium,Female,3.82,2051,0
5710,B,Road,5,3,216.83,13,high,Male,22.92,2081,0
5711,D,Flight,0,5,755.35,4,low,Female,13.35,3691,0
5712,A,Road,1,5,22.66,14,high,Male,20.83,1433,0
5713,C,Flight,3,2,915.05,4,high,Female,25.05,2747,1
5714,A,Flight,3,5,28.23,11,medium,Male,7.62,1074,0
5715,D,Ship,7,3,634.68,9,high,Male,20.0,766,0
5716,E,Road,8,1,608.7,7,medium,Female,3.7,2928,0
5717,E,Ship,3,1,582.63,0,high,Female,3.35,2792,0
5718,D,Ship,5,2,479.6,2,medium,Female,8.51,3145,1
5719,B,Road,3,3,853.91,15,medium,Female,3.93,426,0
5720,B,Road,3,5,662.74,10,low,Male,13.59,3592,0
5721,E,Flight,8,4,784.04,8,medium,Female,26.03,4830,1
5722,E,Flight,3,1,124.37,9,high,Male,2.23,1553,0
5723,D,Flight,5,3,59.4,1,low,Male,10.9,4797,0
5724,B,Flight,8,2,38.24,19,low,Male,6.23,850,1
5725,E,Ship,2,4,155.73,10,high,Female,13.76,2333,0
5726,B,Ship,6,3,670.34,19,high,Female,19.03,3766,0
5727,E,Road,6,5,499.08,10,low,Female,25.59,4269,1
5728,A,Flight,0,1,754.73,6,low,Female,0.71,795,0
5729,C,Flight,1,5,199.81,10,medium,Male,17.05,3793,0
5730,A,Flight,4,2,373.29,4,low,Female,20.7,1351,0
5731,E,Ship,7,1,889.61,11,high,Male,4.05,1385,1
5732,C,Road,5,4,936.36,17,low,Male,28.13,3122,0
5733,C,Ship,6,1,922.51,4,high,Male,2.43,3259,0
5734,E,Road,2,5,820.12,14,high,Male,9.61,3969,0
5735,E,Road,5,3,691.35,11,medium,Male,7.16,1132,0
5736,B,Ship,8,3,914.54,0,medium,Male,2.03,4260,1
5737,E,Ship,2,3,717.04,17,medium,Female,21.0,925,0
5738,D,Road,5,2,954.4,5,high,Male,15.34,1769,0
5739,E,Ship,6,2,34.54,5,high,Male,12.81,4914,0
5740,D,Ship,4,3,922.43,10,high,Female,5.98,1118,0
5741,E,Road,9,4,560.18,10,medium,Male,13.29,3498,0
5742,B,Road,7,5,120.68,15,low,Male,27.04,446,1
5743,D,Flight,7,4,222.76,5,low,Female,10.66,1005,0
5744,A,Ship,5,3,853.64,0,medium,Male,15.26,3779,0
5745,D,Road,6,5,511.06,15,medium,Female,27.86,839,1
5746,B,Ship,2,2,982.99,2,high,Female,20.74,2097,0
5747,D,Ship,6,1,126.36,5,high,Male,1.26,1418,1
5748,E,Road,6,1,418.38,2,high,Female,9.97,3487,0
5749,E,Flight,3,5,338.56,18,low,Female,29.29,3731,0
5750,B,Road,9,4,520.97,7,low,Male,25.96,2405,0
5751,C,Road,3,5,637.1,1,medium,Female,26.48,763,0
5752,E,Ship,2,4,665.01,18,medium,Female,28.02,1133,0
5753,A,Flight,9,4,11.28,14,high,Male,19.01,4385,1
5754,B,Road,6,1,98.07,13,low,Female,23.41,517,0
5755,D,Ship,4,2,44.71,13,low,Male,19.61,2109,0
5756,D,Road,2,3,865.95,3,medium,Male,15.85,777,1
5757,A,Ship,5,2,320.16,18,low,Male,15.6,3097,0
5758,E,Road,5,3,373.39,6,high,Male,0.39,696,0
5759,B,Flight,5,1,455.87,15,low,Female,6.96,2172,0
5760,A,Road,1,3,850.81,7,high,Male,0.87,3343,0
5761,E,Ship,9,4,24.02,14,high,Male,13.49,527,0
5762,B,Road,6,5,127.43,19,high,Female,21.64,3003,1
5763,D,Flight,6,3,688.31,4,high,Male,28.15,4653,1
5764,B,Flight,9,2,964.25,0,low,Male,0.41,4742,0
5765,C,Flight,3,1,646.36,11,low,Male,14.72,4127,0
5766,B,Flight,5,1,268.51,8,high,Male,21.0,1465,1
5767,C,Ship,3,5,524.67,18,medium,Male,20.02,465,0
5768,B,Road,3,4,975.23,17,medium,Male,22.59,4114,1
5769,C,Flight,5,4,532.8,6,high,Male,25.36,1603,0
5770,D,Road,8,1,379.77,10,high,Male,27.42,4339,1
5771,E,Ship,6,4,389.59,10,medium,Female,5.41,4066,0
5772,C,Road,1,5,967.36,19,low,Female,28.65,1601,0
5773,C,Road,5,1,721.73,19,low,Male,24.18,263,0
5774,D,Flight,4,4,690.3,14,medium,Female,27.0,680,1
5775,C,Flight,5,3,239.73,16,high,Male,10.3,3006,0
5776,A,Ship,7,3,563.89,2,high,Female,29.96,4337,0
5777,D,Road,7,4,363.18,10,low,Female,0.37,1224,0
5778,A,Ship,2,3,247.8,12,low,Female,26.12,3959,0
5779,D,Ship,8,5,896.6,5,high,Male,20.37,1663,0
5780,C,Ship,5,2,389.32,13,low,Male,4.13,3555,0
5781,A,Flight,6,5,289.96,10,medium,Female,24.94,361,1
5782,C,Flight,8,5,932.4,12,medium,Male,23.8,889,1
5783,D,Road,6,4,205.37,16,low,Male,16.19,4448,0
5784,C,Road,9,5,748.05,13,high,Female,19.01,1259,1
5785,A,Road,8,4,656.22,13,medium,Female,3.82,1764,0
5786,A,Flight,0,1,921.28,3,low,Male,13.74,2464,0
5787,C,Flight,0,4,833.73,3,low,Female,1.19,2826,0
5788,B,Ship,2,4,708.24,13,high,Male,17.32,4788,0
5789,D,Flight,8,1,321.43,13,low,Male,13.55,620,0
5790,D,Ship,0,2,500.61,6,medium,Male,2.57,2298,0
5791,C,Ship,0,1,945.05,15,low,Male,12.36,582,0
5792,B,Flight,4,4,32.97,13,high,Male,13.14,4427,0
5793,A,Ship,7,3,796.39,4,low,Female,22.13,364,0
5794,E,Ship,1,4,259.29,6,medium,Female,1.6,4174,1
5795,E,Road,3,1,193.17,16,medium,Female,18.42,1495,0
5796,C,Ship,5,4,239.9,14,low,Female,15.39,1813,0
5797,B,Flight,0,1,69.15,6,high,Female,8.25,3153,1
5798,B,Flight,3,5,992.06,9,medium,Female,22.33,220,1
5799,D,Ship,3,2,871.17,17,high,Female,16.89,229,1
5800,A,Road,8,2,525.85,10,high,Male,15.61,1040,1
5801,B,Flight,8,1,717.95,13,medium,Male,28.57,540,0
5802,E,Flight,5,2,561.03,3,low,Female,24.44,2809,0
5803,A,Road,7,3,813.46,2,high,Male,6.19,4110,0
5804,A,Ship,9,3,846.32,13,low,Female,11.64,4152,1
5805,C,Flight,3,2,240.46,19,high,Male,19.89,4510,1
5806,B,Ship,9,1,465.15,2,medium,Male,16.5,1023,1
5807,C,Ship,7,3,638.5,2,high,Male,12.92,819,0
5808,B,Ship,2,2,978.66,19,low,Male,29.44,4068,0
5809,D,Ship,1,4,685.86,11,low,Female,4.98,506,0
5810,C,Flight,5,3,898.66,9,high,Female,10.16,4384,1
5811,C,Road,4,5,847.65,19,high,Female,11.89,4779,0
5812,E,Flight,7,3,586.24,17,high,Female,2.05,878,1
5813,C,Road,0,2,894.72,11,medium,Male,14.04,107,1
5814,B,Ship,9,2,383.65,3,low,Female,15.74,2642,0
5815,E,Road,2,2,385.49,18,high,Male,7.94,662,0
5816,C,Ship,6,1,783.16,18,low,Male,28.86,1922,0
5817,C,Flight,9,1,143.2,16,low,Female,16.06,465,0
5818,D,Flight,3,4,312.77,7,low,Male,17.45,3262,0
5819,C,Road,9,4,612.49,10,low,Female,26.81,847,1
5820,A,Ship,4,3,425.86,4,high,Female,8.23,1799,0
5821,E,Ship,7,2,941.32,4,low,Female,19.03,4233,0
5822,A,Road,0,4,958.92,12,low,Female,13.48,3952,0
5823,E,Ship,0,2,507.56,3,medium,Female,11.14,1915,0
5824,D,Ship,6,3,543.67,12,high,Male,11.32,2378,1
5825,C,Ship,8,1,727.38,15,low,Female,0.72,3755,0
5826,C,Flight,3,4,462.69,11,low,Female,24.63,2967,0
5827,C,Flight,7,5,198.2,13,high,Female,17.57,4165,0
5828,E,Flight,9,5,749.5,8,high,Male,27.98,4551,0
5829,C,Ship,6,5,740.41,5,low,Female,25.36,4152,0
5830,A,Flight,1,5,252.53,7,medium,Female,29.55,1511,0
5831,C,Ship,4,5,834.59,15,medium,Male,1.02,3054,1
5832,D,Ship,8,5,617.51,18,high,Male,19.45,1819,0
5833,A,Road,8,5,243.94,1,high,Male,28.64,4714,0
5834,C,Ship,2,4,655.52,5,medium,Male,23.06,1249,0
5835,C,Flight,2,5,241.27,1,medium,Male,9.52,3759,0
5836,B,Flight,1,5,272.58,18,medium,Male,3.38,1570,0
5837,E,Ship,6,3,849.53,18,medium,Female,20.05,4584,1
5838,A,Flight,5,4,930.2,12,medium,Male,19.75,2534,0
5839,B,Ship,4,3,264.31,16,high,Female,8.77,4439,0
5840,D,Road,6,2,928.77,7,high,Female,24.17,1955,1
5841,E,Ship,3,5,246.41,8,high,Male,18.96,3142,0
5842,A,Ship,4,1,126.09,4,high,Male,12.44,3425,0
5843,C,Road,8,5,67.64,7,low,Male,13.97,1284,0
5844,A,Flight,8,5,249.69,8,medium,Female,7.43,1254,1
5845,C,Road,3,3,391.39,15,medium,Female,16.16,2301,0
5846,E,Road,5,2,928.27,15,high,Female,15.06,393,0
5847,C,Ship,1,3,249.74,11,medium,Female,28.3,4428,0
5848,D,Ship,2,4,371.81,10,low,Female,15.28,2693,0
5849,C,Road,8,2,736.81,17,low,Male,23.32,1713,0
5850,D,Flight,5,2,309.05,12,low,Male,18.43,2384,1
